"Type","Built","Lot","Bed","Bath","Area","Cost","URLaddress"
"SingleFamily",2004,"0.72 Acres",3,3,"223","$822,199","https://www.zillow.com/homedetails/1603-E-Millbrook-Way-Bountiful-UT-84010/68430320_zpid/"
"SingleFamily",1974,"0.41 Acres",4,3,"3,995","$657,907","https://www.zillow.com/homedetails/1001-Mill-St-Bountiful-UT-84010/12669878_zpid/"
"SingleFamily",1956,"0.27 Acres",3,2,"1,926","$424,678","https://www.zillow.com/homedetails/222-E-2450-S-Bountiful-UT-84010/12671907_zpid/"
"SingleFamily",1956,"0.46 Acres",3,2,"2,060","$439,082","https://www.zillow.com/homedetails/350-E-1300-N-Bountiful-UT-84010/12664324_zpid/"
"SingleFamily",1948,"6,098 sqft",3,2,"1,344","$318,936","https://www.zillow.com/homedetails/186-W-100-S-Bountiful-UT-84010/68441408_zpid/"
"SingleFamily",1960,"0.16 Acres",3,2,"1,146","$334,490","https://www.zillow.com/homedetails/1462-N-350-W-Bountiful-UT-84010/2077251354_zpid/"
"SingleFamily",1971,"435 sqft",2,1,"824",NA,"https://www.zillow.com/homedetails/145-E-1100-N-APT-12-Bountiful-UT-84010/2077282422_zpid/"
"SingleFamily",1938,"7,840 sqft",4,3,"2,678","$402,753","https://www.zillow.com/homedetails/394-S-800-E-Bountiful-UT-84010/12669473_zpid/"
"SingleFamily",1978,"0.26 Acres",5,3,"3,046",NA,"https://www.zillow.com/homedetails/1433-E-Seville-Way-S-Bountiful-UT-84010/2076598141_zpid/"
"SingleFamily",1959,"0.23 Acres",5,3,"2,480","$398,150","https://www.zillow.com/homedetails/776-N-950-E-Bountiful-UT-84010/12668261_zpid/"
"Condo",1979,NA,4,3,"2,403","$361,658","https://www.zillow.com/homedetails/1480-E-Lakecrest-Rd-Bountiful-UT-84010/68430263_zpid/"
"SingleFamily",1989,"0.30 Acres",4,3,"4,309","$855,526","https://www.zillow.com/homedetails/1977-S-800-E-Bountiful-UT-84010/12672382_zpid/"
"Townhouse",2019,"0.02 Acres",3,4,"2,220","$414,510","https://www.zillow.com/homedetails/263-E-Grace-Ln-North-Salt-Lake-UT-84010/304691214_zpid/"
